Module                  Size  Used by
protected_memory_allocator    20480  0 
amlogic_audio_utils    28672  0 
aml_erofs             196608  8 
amlogic_amfc           57344  12 
aml_drm               557056  2 hwmonitor
amlogic_inphy          20480  2 dwmac_meson8b,amlogic_mdio_g12a
amlogic_phy_debug      24576  5 dwmac_meson8b,stmmac,amlogic_maxio,amlogic_realtek,amlogic_inphy
amlogic_irblaster      36864  0 
amlogic_usb           995328  5 dwc_otg,[permanent]
amlogic_camera         90112  0 
aml_media           13008896  121 amvdec_av1_t5d_v4l,amvdec_av1_v4l,amvdec_av1,amvdec_mavs_v4l,amvdec_mavs,memalloc,vc8000,amvenc_multi,jpegenc,encoder,encoder_common,amvdec_h266_v4l,amvdec_h266,amvdec_avs3_v4l,amvdec_avs3,amvdec_avs2_v4l,amvdec_avs2,amvdec_vp9_v4l,amvdec_vp9,amvdec_vc1_v4l,amvdec_vc1,amvdec_mmpeg4_v4l,amvdec_mmpeg4,amvdec_mmpeg12_v4l,amvdec_mmpeg12,amvdec_mmjpeg_v4l,amvdec_mmjpeg,amvdec_h265_v4l,amvdec_h265,amvdec_h264mvc,amvdec_mh264_v4l,amvdec_mh264,amvdec_ports,media_sync,stream_input,decoder_common,media_clock,dovi_s6_5_15_stb26,mali_kbase,amlogic_snd_soc,hwmonitor,amlogic_dvb_demux,hdr10_tmo_alg,gdc_fw,dnlp_alg,cuva_hdr_alg,amlogic_fbc_lib,aml_drm,amlogic_camera
amlogic_dvb           245760  3 amlogic_dummy_fe,amlogic_dvb_demux,aml_media
amlogic_watchdog       36864  0 
amlogic_input         114688  0 
amlogic_adc            77824  0 
amlogic_pm             40960  9 amlogic_snd_soc,dwmac_meson8b,amlogic_host,sysled_rgb,dwc_otg,amlogic_wireless,amlogic_usb,aml_media,amlogic_input
dvb_core              212992  4 amlogic_dvb_ci,amlogic_dvb_demux,aml_media,amlogic_dvb
videobuf_core          45056  2 videobuf_vmalloc,aml_media
aml_smmu               36864  0 [permanent]
optee                  73728  5 
